"HolderAddress","Balance","PendingBalanceUpdate"
"0x37af21fa5fb0b20c55b5a6b91d1bf8684d91820d","7108811.18574482","No"
"0x37d042e10502388514af0f4520268cc723cf8b71","1548921.15837327","No"
"0x384c285edf5a09b085687266f20813f3a1a06adc","5314524.39890211","No"
"0x385cba44d2c80f3163049ac26db9a0a6a289b847","4854806.86228603","No"
"0x38c556deb5e0717a47ac621a5891252f50d9c87c","4932660.90590563","No"
"0x39074b2b4434bf3115890094e1360e36d42ecbbd","6349174.06917695","No"
"0x392b947c9714e9a92dec886ef9a93cf2ed8cfc38","132844.68076691","No"
"0x398e88728e3768b7e17c909c77f21d383f1dbd31","1881879.92512063","No"
"0x39c30b9effaf1b22025fbc954db120d489abcc74","216002.731451806","No"
"0x39ca731577d1a6ce3a3ee2d301b7fe1a629599fb","630652.331506806","No"
"0x3a8f222ce019d4e9b43257a8b3ea87ba7fbb7910","189844.923770669","No"
"0x3bf555eeef6d74efee3b78861a4574a345a64787","370418.470358241","No"
"0x3c4c15173b83af84b3f417fb1673b30fa55f7681","2257314.61661117","No"
"0x3dcec5909a5878a259cdcbfaa3d0170d757910e7","5993425.64209123","No"
"0x3e4966e46eeb03cae2a4476ceff1c2b562cd7306","2057319.76510522","No"
"0x3f7c5a8bd6c7543e7390dcf77d57f35c13a7c73a","144574.811305968","No"
"0x4063ea1d47afb8ad9078ded574a1523145fd64a9","529556.470243017","No"
"0x4104d8dc233677ce9be1c3b6499fe278f8bc9d97","86688.5932220549","No"
"0x425c003ee236f402ea423c874d158cddcc041fb6","686809.739242126","No"
"0x42695f161c2576bcb4fe0183bff9d804f41a7bbd","1141036.12012914","No"
"0x42716f7d774f04eca78863f13a1d883a80b9cd34","1925347.34613202","No"
"0x43464f6e18b322029eb94fa2ba3618acdecf62c6","145528.309435659","No"
"0x438c9d69292dec02014d1c3a93d53fd5e319be74","5303697.79674348","No"
"0x43b3336180b3512acc831cb8d8a4c69a989fb9a7","429331.171441802","No"
"0x43ce9d3131b9414df11e965f9212d477a1b70189","14789159.9578126","No"
"0x43df810ed31f3ae7854bcd119a034fc0b4628fbc","2192014.38111978","No"
"0x43e351145716525e001b6335ed56be61aa3b3120","255375.866251389","No"
"0x43fde32e04abc823527521c1896044f2f193e553","1495052.56550061","No"
"0x44b9c4302f8beeeff85f9cd00e9d1c698a9c7a4f","1243292.75303367","No"
"0x46227437f24a4e358beae16e8114490dbc64260a","0.410816893321894","No"
"0x46a22ce91e6e3da06509f458deb5ec66dd293efe","2000000","No"
"0x46c7b348f88cfcc69eee65fcb733c319f6b5c40e","1533865.60475473","No"
"0x470e4460736070ebbb235d8730d99a9973377ea9","12634783.5577427","No"
"0x48f47cacfedf1518ca6f8e097224b14399f524dc","1985864.1375603","No"
"0x49822bb99ad8ae257df9ad2c2fdae55684f3ab0f","530435.790842122","No"
"0x4a24e5a6cfbf26fe9b641ed9e3a2f0fda3d71e52","4376181.14428724","No"
